XMas Tree,Bollywood Santa,2014,Duet,Just Dance 2015
Feel It Still,Portugal. The Man,2017,Solo,Just Dance Unlimited
Five Little Monkeys,The Just Dance Kids,1952,Solo,Just Dance Kids 2
Mi Gente,J Balvin & Willy William,2017,Trio,Just Dance Unlimited
Day-O (The Banana Boat Song),Harry Belafonte (The Just Dance Kids),1956,Solo,Just Dance Kids 2014
Fernando,ABBA,1976,Duet,ABBA: You Can Dance
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,Solo,ABBA: You Can Dance
"Honey, Honey",ABBA,1974,Dance Crew,ABBA: You Can Dance
Lay All Your Love On Me,ABBA,1981,Solo,ABBA: You Can Dance
Super Trouper,ABBA,1980,Solo,ABBA: You Can Dance
The Winner Takes It All,ABBA,1980,Solo,ABBA: You Can Dance
Waterloo,ABBA,1974,Dance Crew,ABBA: You Can Dance
Sax,Fleur East,2015,Trio,Just Dance Unlimited
Accidentally in Love,Counting Crows (The Just Dance Kids),2004,Solo,Just Dance Kids 2
Wheels on The Bus,The Just Dance Kids,1939,Solo,Just Dance Kids
You Spin Me Round (Like a Record),Dead or Alive,1984,Solo,Just Dance 2015
What Lovers Do,Maroon 5 ft. SZA,2017,Duet,Just Dance Unlimited
Dancing Queen,ABBA,1976,Solo,ABBA: You Can Dance
"Knowing Me, Knowing You",ABBA,1977,Dance Crew,ABBA: You Can Dance
Mamma Mia,ABBA,1975,Dance Crew,ABBA: You Can Dance
"Money, Money, Money",ABBA,1976,Solo,ABBA: You Can Dance
SOS,ABBA,1975,Duet,ABBA: You Can Dance
Take a Chance on Me,ABBA,1978,Duet,ABBA: You Can Dance
Voulez-Vous,ABBA,1979,Solo,ABBA: You Can Dance
If You’re Happy and You Know It,The Just Dance Kids,1957,Solo,Just Dance Kids
That’s Not My Name,The Ting Tings,2008,Solo,Just Dance 2
Dame Tu Cosita,El Chombo ft. Cutty Ranks,2018,Solo,Just Dance Unlimited
I’ve Been Working on The Railroad,The Just Dance Kids,1927,Solo,Just Dance Kids
Dancing Queen,ABBA,1976,Trio,Just Dance Unlimited
Fraggle Rock,The Cast of Fraggle Rock (The Just Dance Kids),1983,Solo,Just Dance Kids 2014
No Lie,Sean Paul ft. Dua Lipa,2017,Duet,Just Dance Unlimited
24K Magic,Bruno Mars,2016,Duet,Just Dance 2018
All You Gotta Do (Is Just Dance),The Just Dance Band,2017,Solo,Just Dance 2018
Amazing Girl,The Girly Team,2017,Solo,Just Dance 2018 (Kids Mode)
Another One Bites the Dust,Queen,1980,Dance Crew,Just Dance 2018
Automaton,Jamiroquai,2017,Solo,Just Dance 2018
Bad Liar,Selena Gomez,2017,Solo,Just Dance 2018
Beep Beep I’m A Sheep,LilDeuceDeuce ft. BlackGryph0n & TomSka,2017,Solo,Just Dance 2018
Blow Your Mind (Mwah),Dua Lipa,2016,Solo,Just Dance 2018
Blue (Da Ba Dee),Hit the Electro Beat,1999,Solo,Just Dance 2018
Boom Boom,Iggy Azalea,2017,Trio,Just Dance 2018
Bubble Pop!,HyunA,2011,Trio,Just Dance 2018
Carmen (Overture),The Just Dance Orchestra,1875,Duet,Just Dance 2018
Chantaje,Shakira ft. Maluma,2016,Duet,Just Dance 2018
